stop_id,stop_name,stop_lat,stop_lon
Akron,Akron,41.068637,-81.524315
Albany,Albany,39.2341854444323,-82.196805583953
Arlington_Heights,Arlington Heights,39.2124883390371,-84.4592751318953
Athens_CommCtr,Athens,39.3375810833333,-82.0755995208333
Athens_OU,Athens,39.3249676549769,-82.1024667350836
Batavia,Batavia,39.0829031952626,-84.1529531968127
Broadview_Heights,Broadview Heights,41.3157898077325,-81.65332394279
Caldwell,Caldwell,39.7383877660406,-81.5301708016485
Cambridge,Cambridge,40.0005203080648,-81.5761744511283
Canton,Canton,40.7978743877551,-81.3709746938776
Cincinnati,Cincinnati,39.1338918235757,-84.5092382958362
Cleveland,Cleveland,41.5031872828283,-81.6820337676768
Columbus_COTA,Columbus,39.9573220424067,-82.9990071338151
Columbus_Airport,Columbus,39.9985314725355,-82.8925006520612
Columbus_OSU,Columbus,39.9971106176784,-83.0080312682948
Coolville,Coolville,39.2222447636632,-81.809730001849
Delphos,Delphos,40.8468635305156,-84.3191387817448
Gambier,Gambier,40.37832815,-82.3962532384451
Harrison_Township,Harrison Township,40.3686048379585,-82.397225883497
Jackson,Jackson,39.03734805,-82.6241137943643
Kenton,Kenton,40.634488012602,-83.6017194861041
Lancaster,Lancaster,39.7721676611567,-82.6841951796188
Lima,Lima,40.7412801836735,-84.1028825510204
Logan,Logan,39.517045,-82.36378
Loudonville,Loudonville,40.6016604489627,-82.2630473941808
Mansfield,Mansfield,40.7563309,-82.5144769864757
Marietta,Marietta,39.4131552,-81.4553033
Martinsburg,Martinsburg,40.2707009681401,-82.3596619452184
Marysville,Marysville,40.240635766462,-83.3417422028906
Mount_Eaton,Mount Eaton,40.6931413,-81.6987678
Mount_Gilead,Mount Gilead,40.49481075,-82.7149509657719
Mount_Vernon,Mount Vernon,40.3845749591837,-82.4818534285714
Nelsonville,Nelsonville,39.442182,-82.222089
New_Philadelphia,New Philadelphia,40.4918769018477,-81.4812971028803
Newark,Newark,40.070770470179,-82.4449582562663
Newcomerstown,Newcomerstown,40.2865696398391,-81.5642008063235
Parkersburg,Parkersburg,39.2280191190877,-81.5168917567088
Peebles,Peebles,38.9328994326045,-83.417927516437
Piketon,Piketon,39.0626082,-83.0171789
Seaman,Seaman,39.0344285061529,-83.5638488944371
Shreve,Shreve,40.6803514210526,-82.0248741929825
Van_Wert,Van Wert,40.8740996953109,-84.5999557474798
Wooster,Wooster,41.66245575,-86.1296955
Wooster_MRT,Wooster MRT,40.8283205,-81.9099185
